"child_host","child_name","child_source_jurisdiction","assigned_parent_host","parent_source_jurisdiction","ankamala_named_parent","status"
"doed.gov.np","Department of Electricity Development, Kathmandu","federal","moewri.lumbini.gov.np","lumbini","ऊर्जा, जलस्रोत तथा सिंचाई मन्त्रालय","source_supported_mismatch"
"dwri.gov.np","Department of Water Resource and Irrigation","federal","moewri.lumbini.gov.np","lumbini","ऊर्जा, जलस्रोत तथा सिँचाइ मन्त्रालय","source_supported_mismatch"
"fwssmpbiratnagar.koshi.gov.np","Drinking Water and Sanitation Division Office Biratnagar Koshi","federal","koshi.gov.np","koshi","","source_supported_mismatch"
"nmp.gov.np","Naumure Multipurpose Project","federal","moewri.lumbini.gov.np","lumbini","ऊर्जा, जलस्रोत तथा सिंचाइ मन्त्रालय","source_supported_mismatch"
